Nummer;Name;Land;Plz;Ort;Strasse;Telefon;Bezirk;Freigabe Verband;Freigabe Bezirk;Haftmittel;Bild;;
-150621;Dratelnstraße 1;D;21109;Hamburg;Dratelnstraße 26;;;Keine Freigabe für den Spielbetrieb auf Verbands-Ebene;Keine Freigabe für den Spielbetrieb auf Bezirks-Ebene;Absolutes Haftmittelverbot;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
-150615;Am Kattenberge;D;21244;Buchholz i.d. Nordheide;Sprötzer Weg 3-5;;;Keine Freigabe für den Spielbetrieb auf Verbands-Ebene;Keine Freigabe für den Spielbetrieb auf Bezirks-Ebene;Absolutes Haftmittelverbot;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
-150614;Buenser Weg;D;21244;Buchholz i. d. Nordheide;Buenser Weg;;;Keine Freigabe für den Spielbetrieb auf Verbands-Ebene;Keine Freigabe für den Spielbetrieb auf Bezirks-Ebene;Absolutes Haftmittelverbot;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
-150607;Neuwiedenthal;D;21147;Hamburg;Quellmoor 24;;;Keine Freigabe für den Spielbetrieb auf Verbands-Ebene;Keine Freigabe für den Spielbetrieb auf Bezirks-Ebene;Absolutes Haftmittelverbot;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
-150606;CU Arena;D;21147;Hamburg;Am Johannisland 2-4;;;Keine Freigabe für den Spielbetrieb auf Verbands-Ebene;Keine Freigabe für den Spielbetrieb auf Bezirks-Ebene;Absolutes Haftmittelverbot;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
-150605;Süderelbe;D;21147;Hamburg;Neumoorstück 1;;;Keine Freigabe für den Spielbetrieb auf Verbands-Ebene;Keine Freigabe für den Spielbetrieb auf Bezirks-Ebene;Absolutes Haftmittelverbot;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
-150603;Am Pavillon;D;21077;Hamburg;Am Pavillon 15;;;Keine Freigabe für den Spielbetrieb auf Verbands-Ebene;Keine Freigabe für den Spielbetrieb auf Bezirks-Ebene;Absolutes Haftmittelverbot;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
-150602;Baererstraße;D;21073;Hamburg;Baererstraße 45a;;;Keine Freigabe für den Spielbetrieb auf Verbands-Ebene;Keine Freigabe für den Spielbetrieb auf Bezirks-Ebene;Absolutes Haftmittelverbot;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
-150601;Kerschensteinerstraße;D;21073;Hamburg;Kerschensteinerstraße 10;;;Keine Freigabe für den Spielbetrieb auf Verbands-Ebene;Keine Freigabe für den Spielbetrieb auf Bezirks-Ebene;Absolutes Haftmittelverbot;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
-150581;Durchdeich;D;21037;Hamburg;Sporthallenweg 7;;;Keine Freigabe für den Spielbetrieb auf Verbands-Ebene;Keine Freigabe für den Spielbetrieb auf Bezirks-Ebene;Absolutes Haftmittelverbot;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
-150522;Pergamentweg;D;22117;Hamburg;Pergamentweg 1;;;Keine Freigabe für den Spielbetrieb auf Verbands-Ebene;Keine Freigabe für den Spielbetrieb auf Bezirks-Ebene;Absolutes Haftmittelverbot;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
-150516;Luisenweg;D;20537;Hamburg;Luisenweg 2/Ebelingplatz;;;Keine Freigabe für den Spielbetrieb auf Verbands-Ebene;Keine Freigabe für den Spielbetrieb auf Bezirks-Ebene;Absolutes Haftmittelverbot;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
-150515;Hammer Weg;D;20537;Hamburg;Hammer Weg 20;;;Keine Freigabe für den Spielbetrieb auf Verbands-Ebene;Keine Freigabe für den Spielbetrieb auf Bezirks-Ebene;Absolutes Haftmittelverbot;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
-150514;Horner Weg;D;22111;Hamburg;Horner Weg 89;;;Keine Freigabe für den Spielbetrieb auf Verbands-Ebene;Keine Freigabe für den Spielbetrieb auf Bezirks-Ebene;Absolutes Haftmittelverbot;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
-150513;Sorbenstraße;D;20537;Hamburg;Sorbenstraße 15;;;Keine Freigabe für den Spielbetrieb auf Verbands-Ebene;Keine Freigabe für den Spielbetrieb auf Bezirks-Ebene;Absolutes Haftmittelverbot;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
-150512;Ritterstraße;D;22089;Hamburg;Ritterstraße 9;;;Keine Freigabe für den Spielbetrieb auf Verbands-Ebene;Keine Freigabe für den Spielbetrieb auf Bezirks-Ebene;Absolutes Haftmittelverbot;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
