Nummer;Name;Land;Plz;Ort;Strasse;Telefon;Bezirk;Freigabe Verband;Freigabe Bezirk;Haftmittel;Bild;;
6051;Stadionhalle;D;71272;Renningen;Gottfried-Bauer-Straße;07159-55569;Achalm-Nagold;Freigabe für den Spielbetrieb auf Verbands-Ebene;Freigabe für den Spielbetrieb auf Bezirks-Ebene;Regelung Haftmittelverbot: wasserlösliches Haftmittel erlaubt;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
6052;Isolde-Kurz-Gymnasium;D;72764;Reutlingen;Charlottenstraße 65;07121-42638;Achalm-Nagold;Freigabe für den Spielbetrieb auf Verbands-Ebene;Freigabe für den Spielbetrieb auf Bezirks-Ebene;Absolutes Haftmittelverbot;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
6053;Oskar-Kalbfell-Sporthalle;D;72764;Reutlingen;Kanzleistraße 30;07121-320365;Achalm-Nagold;Freigabe für den Spielbetrieb auf Verbands-Ebene;Freigabe für den Spielbetrieb auf Bezirks-Ebene;Absolutes Haftmittelverbot;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
6054;Sporthalle Rennwiesen;D;72762;Reutlingen;Moltkestraße 41;07121-240247;Achalm-Nagold;Freigabe für den Spielbetrieb auf Verbands-Ebene;Freigabe für den Spielbetrieb auf Bezirks-Ebene;Absolutes Haftmittelverbot;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
6056;Sporthalle Bildungszentrum Nord;D;72768;Reutlingen-Rommelsbach;Wittumstraße 39;07121-610221;Achalm-Nagold;Freigabe für den Spielbetrieb auf Verbands-Ebene;Freigabe für den Spielbetrieb auf Bezirks-Ebene;Absolutes Haftmittelverbot;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
6057;Volksbank Arena;D;72108;Rottenburg;Jahnstraße 31;;Achalm-Nagold;Freigabe für den Spielbetrieb auf Verbands-Ebene;Freigabe für den Spielbetrieb auf Bezirks-Ebene;Absolutes Haftmittelverbot;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
6058;Kreuzerfeldhalle;D;72108;Rottenburg;Gelber Kreidebusen 45;07472-165-361;Achalm-Nagold;Freigabe für den Spielbetrieb auf Verbands-Ebene;Freigabe für den Spielbetrieb auf Bezirks-Ebene;Absolutes Haftmittelverbot;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
6059;Sporthalle Bühl;D;71277;Rutesheim;Robert-Bosch-Straße;07152-500268;Achalm-Nagold;Freigabe für den Spielbetrieb auf Verbands-Ebene;Freigabe für den Spielbetrieb auf Bezirks-Ebene;Regelung Haftmittelverbot: wasserlösliche Haftmittel erlaubt;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
6060;Sporthalle;D;71101;Schönaich;Im Hasenbühl;07031-55969;Achalm-Nagold;Freigabe für den Spielbetrieb auf Verbands-Ebene;Freigabe für den Spielbetrieb auf Bezirks-Ebene;Absolutes Haftmittelverbot;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
6061;Eschenriedhalle;D;71067;Sindelfingen;Eschenriedstraße 4;07031-94585;Achalm-Nagold;Freigabe für den Spielbetrieb auf Verbands-Ebene;Freigabe für den Spielbetrieb auf Bezirks-Ebene;Absolutes Haftmittelverbot;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
6062;Sommerhofenhalle;D;71067;Sindelfingen;Hohenzollernstraße 53;07031-7088339;Achalm-Nagold;Freigabe für den Spielbetrieb auf Verbands-Ebene;Freigabe für den Spielbetrieb auf Bezirks-Ebene;Regelung Haftmittelverbot: wasserlösliche Haftmittel erlaubt;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
6063;Sporthalle Stadtmitte;D;71063;Sindelfingen;Böblinger Straße 24;07031-94632;Achalm-Nagold;Freigabe für den Spielbetrieb auf Verbands-Ebene;Freigabe für den Spielbetrieb auf Bezirks-Ebene;Absolutes Haftmittelverbot;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
6064;Schulturnhalle beim Goldberggymnasium;D;71065;Sindelfingen;Frankenstraße 15;07031-957418;Achalm-Nagold;Freigabe für den Spielbetrieb auf Verbands-Ebene;Freigabe für den Spielbetrieb auf Bezirks-Ebene;Absolutes Haftmittelverbot;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
6065;Gemeindehalle;D;75365;Calw-Stammheim;Jahnstraße;07051-2990;Achalm-Nagold;Freigabe für den Spielbetrieb auf Verbands-Ebene;Freigabe für den Spielbetrieb auf Bezirks-Ebene;Absolutes Haftmittelverbot;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
6067;Storlach-Sporthalle;D;72760;Reutlingen-Storlach;Mittnachtstraße 205;07121-334418;Achalm-Nagold;Freigabe für den Spielbetrieb auf Verbands-Ebene;Freigabe für den Spielbetrieb auf Bezirks-Ebene;Absolutes Haftmittelverbot;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
6068;Sporthalle Uhlandstraße ;D;72072;Tübingen;Uhlandstraße 28;07071-2041637;Achalm-Nagold;Keine Freigabe für den Spielbetrieb auf Verbands-Ebene;Keine Freigabe für den Spielbetrieb auf Bezirks-Ebene;Absolutes Haftmittelverbot;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
6069;Ernst-Braun-Halle;D;72805;Lichtenstein-Unterhausen;Panoramastraße;07129-69673;Achalm-Nagold;Freigabe für den Spielbetrieb auf Verbands-Ebene (Ausnahmeregelung: Abstand zwischen Z/S-Tisch und Seitenauslinie <50 cm);Freigabe für den Spielbetrieb auf Bezirks-Ebene (Ausnahmeregelung: Abstand zwischen Z/S-Tisch und Seitenauslinie <50 cm);Regelung Haftmittelverbot: wasserlösliche Haftmittel erlaubt;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
6070;Sporthalle;D;71063;Sindelfingen-Unterrieden;Rudolf-Harbig-Straße 40;01520-2929652;Achalm-Nagold;Freigabe für den Spielbetrieb auf Verbands-Ebene;Freigabe für den Spielbetrieb auf Bezirks-Ebene;Regelung Haftmittelverbot: wasserlösliches Haftmittel (Trimona) erlaubt;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
6071;Sporthalle Waldhäuser Ost;D;72076;Tübingen-Waldhäuser Ost;Berliner Ring 33;07071-968124;Achalm-Nagold;Keine Freigabe für den Spielbetrieb auf Verbands-Ebene (Zuschauerfassungsvermögen fehlt);Freigabe für den Spielbetrieb auf Bezirks-Ebene;Absolutes Haftmittelverbot;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
6072;Gemeindehalle;D;71093;Weil im Schönbuch;In der Röte 90;07157-62775;Achalm-Nagold;Freigabe für den Spielbetrieb auf Verbands-Ebene;Freigabe für den Spielbetrieb auf Bezirks-Ebene;Absolutes Haftmittelverbot;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
6073;Sporthalle beim Berufschulzentrum;D;75365;Calw-Wimberg;Oberriedterstraße;07051-5201;Achalm-Nagold;Freigabe für den Spielbetrieb auf Verbands-Ebene;Freigabe für den Spielbetrieb auf Bezirks-Ebene;Absolutes Haftmittelverbot;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
6076;Otto-Locher-Sporthalle;D;72108;Rottenburg;Jahnstraße 31;07472-282527;Achalm-Nagold;Freigabe für den Spielbetrieb auf Verbands-Ebene;Freigabe für den Spielbetrieb auf Bezirks-Ebene;Absolutes Haftmittelverbot;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
6077;Murgtalhalle;D;72270;Baiersbronn;Nogent-le-Rotrou-Straße;07442-60257;Achalm-Nagold;Freigabe für den Spielbetrieb auf Verbands-Ebene;Freigabe für den Spielbetrieb auf Bezirks-Ebene;Absolutes Haftmittelverbot;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
6078;Neue Sporthalle beim Kreisberufschulzentrum;D;71229;Leonberg;Fockentalweg;07152-932-165 / 932-167;Achalm-Nagold;Freigabe für den Spielbetrieb auf Verbands-Ebene;Freigabe für den Spielbetrieb auf Bezirks-Ebene;Regelung Haftmittelverbot: wasserlösliches Haftmittel (Select Profcare) erlaubt;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
6079;Sporthalle der Ostertag-Realschule;D;71229;Leonberg;Tiroler Straße 30;;Achalm-Nagold;Freigabe für den Spielbetrieb auf Verbands-Ebene;Freigabe für den Spielbetrieb auf Bezirks-Ebene;Absolutes Haftmittelverbot;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
6080;Grabenrainsporthalle;D;71088;Holzgerlingen;Ahornstraße;;Achalm-Nagold;Freigabe für den Spielbetrieb auf Verbands-Ebene;Freigabe für den Spielbetrieb auf Bezirks-Ebene;Absolutes Haftmittelverbot;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
6081;Weiler Sportzentrum;D;71093;Weil im Schönbuch;In der Röte 94/2;;Achalm-Nagold;Freigabe für den Spielbetrieb auf Verbands-Ebene;Freigabe für den Spielbetrieb auf Bezirks-Ebene;Regelung Haftmittelverbot: wasserlösliches Haftmittel (Select Profcare) erlaubt;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
6082;Sporthalle Sulzberg;D;72275;Alpirsbach;Sulzberg 52;07444-9518255;Achalm-Nagold;Freigabe für den Spielbetrieb auf Verbands-Ebene;Freigabe für den Spielbetrieb auf Bezirks-Ebene;Absolutes Haftmittelverbot;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
6083;Paul-Horn Arena;D;72072;Tübingen;Europastraße 50;07071-410168;Achalm-Nagold;Freigabe für den Spielbetrieb auf Verbands-Ebene;Freigabe für den Spielbetrieb auf Bezirks-Ebene;Regelung Haftmittelverbot: Nur bei Spielen der 1. und 2. Bundesliga erlaubt, sonst absolutes Haftmittelverbot;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
6084;Sportzentrum Ösch Sporthalle 2;D;72555;Metzingen;Noyonallee 20;07123-925335;Achalm-Nagold;Freigabe für den Spielbetrieb auf Verbands-Ebene;Freigabe für den Spielbetrieb auf Bezirks-Ebene;Regelung Haftmittelverbot: wasserlösliche Haftmittel erlaubt;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
6085;Stadionhalle;D;72250;Freudenstadt;Ludwig-Jahn-Straße 56;07441-919514820;Achalm-Nagold;Freigabe für den Spielbetrieb auf Verbands-Ebene;Freigabe für den Spielbetrieb auf Bezirks-Ebene;Absolutes Haftmittelverbot;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
6086;David Fahrner Halle;D;72250;Freudenstadt;Landhausstraße 4;;Achalm-Nagold;Freigabe für den Spielbetrieb auf Verbands-Ebene;Freigabe für den Spielbetrieb auf Bezirks-Ebene;Absolutes Haftmittelverbot;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
6087;Sporthalle Arbachtal;D;72800;Eningen unter Achalm;Pfullinger Straße 5;;Achalm-Nagold;Freigabe für den Spielbetrieb auf Verbands-Ebene;Freigabe für den Spielbetrieb auf Bezirks-Ebene;Regelung Haftmittelverbot: wasserlösliches Haftmittel (Select Profcare) erlaubt;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
6088;Reuchlin-Sporthalle;D;75378;Bad Liebenzell;Pforzheimer Straße 8;07052-933462;Achalm-Nagold;Freigabe für den Spielbetrieb auf Verbands-Ebene;Freigabe für den Spielbetrieb auf Bezirks-Ebene;Absolutes Haftmittelverbot;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
6089;Sporthalle 2 im Sportzentrum Schalkwiesen;D;71139;Ehningen;Hildrizhauser Straße 80;07034-8415;Achalm-Nagold;Freigabe für den Spielbetrieb auf Verbands-Ebene;Freigabe für den Spielbetrieb auf Bezirks-Ebene;Absolutes Haftmittelverbot;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
6090;Staigwaldhalle;D;71229;Leonberg-Warmbronn;Büsnauer Straße 67;07152-44366;Achalm-Nagold;Freigabe für den Spielbetrieb auf Verbands-Ebene;Freigabe für den Spielbetrieb auf Bezirks-Ebene;Regelung Haftmittelverbot: wasserlösliches Haftmittel (Select Profcare) erlaubt;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
6091;Aischbachhalle;D;71083;Herrenberg;Schießtäle 29;;Achalm-Nagold;Freigabe für den Spielbetrieb auf Verbands-Ebene;Freigabe für den Spielbetrieb auf Bezirks-Ebene;Absolutes Haftmittelverbot;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
6092;Neue Sporthalle;D;72285;Pfalzgrafenweiler;Burgstraße 37;;Achalm-Nagold;Freigabe für den Spielbetrieb auf Verbands-Ebene;Freigabe für den Spielbetrieb auf Bezirks-Ebene;Absolutes Haftmittelverbot;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
6093;Walter-Lindner-Sporthalle;D;75365;Calw;Im Krappen 2;;Achalm-Nagold;Freigabe für den Spielbetrieb auf Verbands-Ebene;Freigabe für den Spielbetrieb auf Bezirks-Ebene;Absolutes Haftmittelverbot;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
6094;Dietweg-Halle;D;72760;Reutlingen;Carl-Diem-Straße 130;07121-300170;Achalm-Nagold;Freigabe für den Spielbetrieb auf Verbands-Ebene;Freigabe für den Spielbetrieb auf Bezirks-Ebene;Absolutes Haftmittelverbot;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
6095;Hermann-Raiser-Halle;D;71032;Böblingen;Kremserstraße 5;;Achalm-Nagold;Keine Freigabe für den Spielbetrieb auf Verbands-Ebene;Keine Freigabe für den Spielbetrieb auf Bezirks-Ebene;Absolutes Haftmittelverbot;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
6096;Riedsteighalle;D;72280;Dornstetten;Riedsteige 80;07443-1734029;Achalm-Nagold;Freigabe für den Spielbetrieb auf Verbands-Ebene;Freigabe für den Spielbetrieb auf Bezirks-Ebene;Absolutes Haftmittelverbot;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
6097;Schlehengäu-Sporthalle;D;75391;Gechingen;Weingartenstraße 45;07056-3095;Achalm-Nagold;Keine Freigabe für den Spielbetrieb auf Verbands-Ebene;Keine Freigabe für den Spielbetrieb auf Bezirks-Ebene;Absolutes Haftmittelverbot;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
6098;Sporthalle;D;72144;Dusslingen;Auf dem Höhnisch;07072-9158-20;Achalm-Nagold;Freigabe für den Spielbetrieb auf Verbands-Ebene;Freigabe für den Spielbetrieb auf Bezirks-Ebene;Absolutes Haftmittelverbot;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
6099;Ballspielhalle;D;72141;Walddorfhäslach;Weiherwiesen;;Achalm-Nagold;Freigabe für den Spielbetrieb auf Verbands-Ebene;Freigabe für den Spielbetrieb auf Bezirks-Ebene;Absolutes Haftmittelverbot;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
6100;Sporthalle bei der Schule;D;72224;Ebhausen;Bei der Schule 2;;Achalm-Nagold;Freigabe für den Spielbetrieb auf Verbands-Ebene (Z/S-Tisch ist so zu gestalten, dass ZS hinter dem Tisch sitzen (z.B. Biertisch-Garnitur));Keine Freigabe für den Spielbetrieb auf Bezirks-Ebene (Z/S-Tisch ist so zu gestalten, dass ZS hinter dem Tisch sitzen (z.B. Biertisch-Garnitur));Absolutes Haftmittelverbot;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
6101;Sporthalle am Alemannenweg;D;72119;Ammerbuch-Entringen;Alemannenweg 23;07073-9171-7221;Achalm-Nagold;Freigabe für den Spielbetrieb auf Verbands-Ebene;Freigabe für den Spielbetrieb auf Bezirks-Ebene;Absolutes Haftmittelverbot;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
7001;Sporthalle;D;78554;Aldingen (TUT);Heubergstraße 29;07424-901120;Neckar-Zollern;Freigabe für den Spielbetrieb auf Verbands-Ebene;Freigabe für den Spielbetrieb auf Bezirks-Ebene;Regelung Haftmittelverbot: nur 'Gorilla Gold Grip Enhancer Handball' erlaubt;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
7003;Kreissporthalle;D;72336;Balingen;Steinachstraße 19;07433-92-1791 / -1792;Neckar-Zollern;Freigabe für den Spielbetrieb auf Verbands-Ebene;Freigabe für den Spielbetrieb auf Bezirks-Ebene;Regelung Haftmittelverbot: Trimona-Haftspray erlaubt;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
7004;Längenfeldhalle;D;72336;Balingen;Gymnasiumstraße 32;07433-900036;Neckar-Zollern;Freigabe für den Spielbetrieb auf Verbands-Ebene;Freigabe für den Spielbetrieb auf Bezirks-Ebene;Regelung Haftmittelverbot: wasserlösliche Haftmittel erlaubt;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
7005;Sporthalle bei der Realschule;D;72336;Balingen;Teckstraße 20;07433-900026;Neckar-Zollern;Freigabe für den Spielbetrieb auf Verbands-Ebene;Freigabe für den Spielbetrieb auf Bezirks-Ebene;Regelung Haftmittelverbot: Trimona-Haftspray erlaubt;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
7006;Sporthalle;D;72475;Bitz;Zollernstraße;07431-989615;Neckar-Zollern;Freigabe für den Spielbetrieb auf Verbands-Ebene;Freigabe für den Spielbetrieb auf Bezirks-Ebene;Regelung Haftmittelverbot: wasserlösliches Haftmittel (Select Profcare) erlaubt;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
7007;Sporthalle;D;72393;Burladingen;Albstraße 13;07475-89252;Neckar-Zollern;Keine Freigabe für den Spielbetrieb auf Verbands-Ebene (Spielfeld zu klein);Freigabe für den Spielbetrieb auf Bezirks-Ebene (für Aktive unterhalb Bezirksliga und Jugend);Haftmittel erlaubt;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
7008;Sporthalle;D;72359;Dotternhausen;Schulstraße 16;07427-940528;Neckar-Zollern;Freigabe für den Spielbetrieb auf Verbands-Ebene;Freigabe für den Spielbetrieb auf Bezirks-Ebene;Absolutes Haftmittelverbot;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
7009;Mazmannhalle;D;72458;Albstadt-Ebingen;Gymnasiumstraße 9;07431-52171;Neckar-Zollern;Freigabe für den Spielbetrieb auf Verbands-Ebene;Freigabe für den Spielbetrieb auf Bezirks-Ebene;Regelung Haftmittelverbot: wasserlösliche Haftmittel (Trimona oder Select Profcare) erlaubt;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
7010;Sporthalle beim Berufschulzentrum;D;72458;Albstadt-Ebingen;Kantstraße;07431-121137;Neckar-Zollern;Freigabe für den Spielbetrieb auf Verbands-Ebene;Freigabe für den Spielbetrieb auf Bezirks-Ebene;Absolutes Haftmittelverbot;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
7011;Sepp-Hipp-Halle;D;78567;Fridingen/Donau;Spitalstraße;07463-83717;Neckar-Zollern;Freigabe für den Spielbetrieb auf Verbands-Ebene;Freigabe für den Spielbetrieb auf Bezirks-Ebene;Regelung Haftmittelverbot: Trimona-Haftspray erlaubt;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
7012;Sporthalle beim Sportgelände;D;78665;Frittlingen;;07426-3592;Neckar-Zollern;Keine Freigabe für den Spielbetrieb auf Verbands-Ebene (Spielfeld zu klein);Freigabe für den Spielbetrieb auf Bezirks-Ebene (für Aktive unterhalb Bezirksliga und Jugend);Absolutes Haftmittelverbot;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
7013;Sporthalle;D;72336;Balingen-Frommern;Beethovenstraße;;Neckar-Zollern;Keine Freigabe für den Spielbetrieb auf Verbands-Ebene (Spielfeld zu klein);Freigabe für den Spielbetrieb auf Bezirks-Ebene (Spielfeld zu klein);Regelung Haftmittelverbot: Trimona Haftspray erlaubt;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
7014;Schloßparkhalle;D;72351;Geislingen bei Balingen;Schloßplatz 1;07433-21585;Neckar-Zollern;Freigabe für den Spielbetrieb auf Verbands-Ebene;Freigabe für den Spielbetrieb auf Bezirks-Ebene;Absolutes Haftmittelverbot;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
7015;Kreissporthalle;D;72379;Hechingen;Masurenweg 2;07471-924-458 / -459;Neckar-Zollern;Freigabe für den Spielbetrieb auf Verbands-Ebene;Freigabe für den Spielbetrieb auf Bezirks-Ebene;Regelung Haftmittelverbot: Trimona-Haftspray erlaubt;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
7017;Heuberghalle;D;72469;Meßstetten;Wildensteinstraße 23;07431-62960;Neckar-Zollern;Freigabe für den Spielbetrieb auf Verbands-Ebene;Freigabe für den Spielbetrieb auf Bezirks-Ebene;Regelung Haftmittelverbot: Trimona Handball Spraywax;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
7018;Sporthalle;D;78570;Mühlheim/Donau;Schillerstraße 18;;Neckar-Zollern;Freigabe für den Spielbetrieb auf Verbands-Ebene;Freigabe für den Spielbetrieb auf Bezirks-Ebene;Regelung Haftmittelverbot: wasserlösliches Haftmittel (Trimona Haftspray) erlaubt;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
7019;Sporthalle der Nendinger Donau-Hallen;D;78532;Tuttlingen-Nendingen;;07461-5899;Neckar-Zollern;Keine Freigabe für den Spielbetrieb auf Verbands-Ebene (Spielfeld zu klein);Freigabe für den Spielbetrieb auf Bezirks-Ebene (Spielfeld zu klein);Absolutes Haftmittelverbot;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
7020;Homburghalle;D;78579;Neuhausen ob Eck;Hegaustraße;07467-709;Neckar-Zollern;Freigabe für den Spielbetrieb auf Verbands-Ebene;Freigabe für den Spielbetrieb auf Bezirks-Ebene;Haftmittel erlaubt;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
7021;Neckarhalle;D;78727;Oberndorf/Neckar;Austraße;07423-77336;Neckar-Zollern;Freigabe für den Spielbetrieb auf Verbands-Ebene;Freigabe für den Spielbetrieb auf Bezirks-Ebene;Absolutes Haftmittelverbot;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
7022;Raichberghalle;D;72461;Albstadt-Onstmettingen;Johannes-Raster-Straße 2;07432-21111;Neckar-Zollern;Freigabe für den Spielbetrieb auf Verbands-Ebene;Freigabe für den Spielbetrieb auf Bezirks-Ebene;Regelung Haftmittelverbot: Trimona-Haftspray erlaubt;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
7023;Doppelsporthalle 1;D;78628;Rottweil/Neckar;Heerstraße;0741-494296;Neckar-Zollern;Freigabe für den Spielbetrieb auf Verbands-Ebene;Freigabe für den Spielbetrieb auf Bezirks-Ebene;Regelung Haftmittelverbot: wasserlösliches Haftmittel erlaubt;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
7024;Kreissporthalle;D;78628;Rottweil/Neckar;Heerstraße 152;;Neckar-Zollern;Freigabe für den Spielbetrieb auf Verbands-Ebene;Freigabe für den Spielbetrieb auf Bezirks-Ebene;Absolutes Haftmittelverbot;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
7025;Doppelsporthalle 2;D;78626;Rottweil;Heerstraße 140;0741-494296;Neckar-Zollern;Freigabe für den Spielbetrieb auf Verbands-Ebene;Freigabe für den Spielbetrieb auf Bezirks-Ebene;Regelung Haftmittelverbot: wasserlösliches Haftmittel erlaubt;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
7026;Karl-Diehl-Halle;D;78713;Schramberg;Bahnhofstraße 2;07422-245581;Neckar-Zollern;Freigabe für den Spielbetrieb auf Verbands-Ebene;Freigabe für den Spielbetrieb auf Bezirks-Ebene;Absolutes Haftmittelverbot;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
7027;Kellenbachhalle;D;78647;Trossingen-Schura;Kellenbachstraße 1;07425-21291;Neckar-Zollern;Freigabe für den Spielbetrieb auf Verbands-Ebene;Freigabe für den Spielbetrieb auf Bezirks-Ebene;Regelung Haftmittelverbot: wasserlösliches Haftmittel (Select Profcare) erlaubt sonst Haftmittelverbot;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
7028;Alleensporthalle;D;78054;Schwenningen/Neckar;Alleenstraße 53;07720-310015;Neckar-Zollern;Freigabe für den Spielbetrieb auf Verbands-Ebene;Freigabe für den Spielbetrieb auf Bezirks-Ebene;Absolutes Haftmittelverbot;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
7029;Deutenberghalle 1;D;78054;Schwenningen/Neckar;Spittelstraße 85;07720-821260;Neckar-Zollern;Freigabe für den Spielbetrieb auf Verbands-Ebene;Freigabe für den Spielbetrieb auf Bezirks-Ebene;Regelung Haftmittelverbot: wasserlösliches Haftmittel (Select Profcare) erlaubt;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
7030;Deutenberghalle 2;D;78054;Schwenningen;Spittelstraße 85;07720-821260;Neckar-Zollern;Freigabe für den Spielbetrieb auf Verbands-Ebene;Freigabe für den Spielbetrieb auf Bezirks-Ebene;Regelung Haftmittelverbot: wasserlösliches Haftmittel (Select Profcare) erlaubt;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
7031;Gymnasiumhalle;D;72488;Sigmaringen;Hohenzollernstraße 20;07571-106188;Neckar-Zollern;Freigabe für den Spielbetrieb auf Verbands-Ebene;Freigabe für den Spielbetrieb auf Bezirks-Ebene;Absolutes Haftmittelverbot;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
7032;Kreissporthalle;D;72488;Sigmaringen;Hohenzollernstraße 41;;Neckar-Zollern;Freigabe für den Spielbetrieb auf Verbands-Ebene;Freigabe für den Spielbetrieb auf Bezirks-Ebene;Absolutes Haftmittelverbot;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
7033;Sporthalle Unterbach;D;78549;Spaichingen;Schuraer Straße 7;07424-4778;Neckar-Zollern;Freigabe für den Spielbetrieb auf Verbands-Ebene;Freigabe für den Spielbetrieb auf Bezirks-Ebene;Regelung Haftmittelverbot: wasserlösliche Haftmittel (Select Profcare) für Männer, männl. A- sowie männl. B-Jugend;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
7035;Kreissporthalle;D;78713;Schramberg-Sulgen;Rottweiler Straße;07422-6070;Neckar-Zollern;Freigabe für den Spielbetrieb auf Verbands-Ebene;Freigabe für den Spielbetrieb auf Bezirks-Ebene;Absolutes Haftmittelverbot;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
7036;Stadionhalle Sulz;D;72172;Sulz am Neckar;Jahnstraße;07454-3001;Neckar-Zollern;Freigabe für den Spielbetrieb auf Verbands-Ebene;Freigabe für den Spielbetrieb auf Bezirks-Ebene;Absolutes Haftmittelverbot;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
7037;Sporthalle Langenwand;D;72461;Albstadt-Tailfingen;Vogelsangstraße 30;07432-4629;Neckar-Zollern;Freigabe für den Spielbetrieb auf Verbands-Ebene;Freigabe für den Spielbetrieb auf Bezirks-Ebene;Regelung Haftmittelverbot: Trimona-Haftspray erlaubt;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
7038;Sporthalle Lutherschule;D;72461;Albstadt-Tailfingen;Erich-Kästner-Straße 30;07432-12600;Neckar-Zollern;Freigabe für den Spielbetrieb auf Verbands-Ebene;Freigabe für den Spielbetrieb auf Bezirks-Ebene;Absolutes Haftmittelverbot;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
